"CÓDIGO SIGEP","NOMBRE DE LA ENTIDAD","NIT","ORDEN","SUBORDEN","REGIÓN PND","CÓDIGO DIVIPOLA DEPARTAMENTO","DEPARTAMENTO","CÓDIGO DIVIPOLA MUNICIPIO","MUNICIPIO","CLASIFICACIÓN ORGÁNICA","SECTOR","NIVEL","TIPO DE VINCULACIÓN","NATURALEZA JURÍDICA","LONGITUD","LATITUD","AÑO","MES","FUENTE","GENERO: HOMBRE","GENERO: MUJER","NIVEL EDUCATIVO: PRIMARIA","NIVEL EDUCATIVO: SECUNDARIA","NIVEL EDUCATIVO: TÉCNICA-TECNOLÓGICA","NIVEL EDUCATIVO: PROFESIONAL","NIVEL EDUCATIVO: ESPECIALIZACIÓN","NIVEL EDUCATIVO: MAESTRÍA","NIVEL EDUCATIVO: DOCTORADO","NIVEL EDUCATIVO: SIN DATOS","EDAD: MENOR O IGUAL A 29","EDAD: 30-39","EDAD: 40-49","EDAD: 50-62","EDAD: 63 Y MAS","EXPERIENCIA LABORAL: MENOR A 1 AÑO","EXPERIENCIA LABORAL: DE 1 A 10 AÑOS","EXPERIENCIA LABORAL: DE 11 A 20 AÑOS","EXPERIENCIA LABORAL: DE 21 A 30 AÑOS","EXPERIENCIA LABORAL: DE 31 A 40 AÑOS","EXPERIENCIA LABORAL: MAYOR A 40 AÑOS","EXPERIENCIA LABORAL: SIN DATOS","SALARIO MENSUAL PROMEDIO"
"1","ABASTOS GUADALAJARA DE BUGA","815000842","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","ADSCRITAS","ESTABLECIMIENTO PÚBLICO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","2","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","2","0","0","0","3,469,779,000,000"
"2","MINISTERIO DE RELACIONES EXTERIORES","899999042","NACIONAL",,,,,,,"NO APLICA","RELACIONES EXTERIORES","CENTRAL","CABEZA","MINISTERIO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","751","734","8","159","0","500","0","0","31","9","109","548","379","367","82","220","487","445","180","101","52","22","6,273,874,764,983"
"4","MINISTERIO DE HACIENDA Y CREDITO PUBLICO","899999090","NACIONAL",,,,,,,"NO APLICA","HACIENDA Y CRÉDITO PÚBLICO","CENTRAL","CABEZA","MINISTERIO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","300","333","0","38","0","118","0","0","8","0","50","183","161","203","36","32","230","167","92","84","28","0","5,464,311,094,786"
"5","MINISTERIO DE DEFENSA NACIONAL","899999003","NACIONAL",,,,,,,"NO APLICA","DEFENSA","CENTRAL","CABEZA","MINISTERIO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","278","339","2","102","0","124","0","0","4","1","51","140","199","192","35","19","177","230","111","60","20","0","2,530,058,366,288"
"6","MINISTERIO DE AGRICULTURA Y DESARROLLO RURAL","899999028","NACIONAL",,,,,,,"NO APLICA","AGROPECUARIO PESQUERO Y DE DESARROLLO RURAL","CENTRAL","CABEZA","MINISTERIO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","117","126","1","45","0","46","0","0","2","0","7","56","69","84","27","4","73","82","32","26","26","0","4,721,027,559,670"
"9","MINISTERIO DE MINAS Y ENERGIA","899999022","NACIONAL",,,,,,,"NO APLICA","MINAS Y ENERGIA","CENTRAL","CABEZA","MINISTERIO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","151","128","0","27","0","43","0","0","4","0","5","79","98","82","15","24","100","84","42","23","6","0","4,461,510,806,451"
"11","MINISTERIO DE EDUCACION NACIONAL","899999001","NACIONAL",,,,,,,"NO APLICA","EDUCACIÓN","CENTRAL","CABEZA","MINISTERIO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","176","339","0","30","0","81","0","0","17","0","15","101","146","203","50","38","139","190","79","39","30","3","6,225,813,955,339"
"12","MINISTERIO DE TECNOLOGIAS DE LA INFORMACION Y LAS COMUNICACIONES","899999053","NACIONAL",,,,,,,"NO APLICA","TECNOLOGÍAS DE LA INFORMACION Y LAS COMUNICACIONES","CENTRAL","CABEZA","MINISTERIO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","246","263","1","21","0","54","0","0","3","0","13","163","188","130","15","24","202","183","53","32","15","0","5,051,288,072,691"
"13","MINISTERIO DE TRANSPORTE","899999055","NACIONAL",,,,,,,"NO APLICA","TRANSPORTE","CENTRAL","CABEZA","MINISTERIO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","242","278","1","135","0","137","0","0","1","0","20","86","105","227","82","49","121","103","69","154","24","2","3,436,690,801,923"
"16","MINISTERIO DE LAS CULTURAS, LAS ARTES Y LOS SABERES","830034348","NACIONAL",,,,,,,"NO APLICA","CULTURA","CENTRAL","CABEZA","MINISTERIO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","138","209","3","42","0","85","0","0","5","0","22","94","105","102","24","15","164","97","41","22","8","0","5,702,716,011,527"
"18","DEPARTAMENTO ADMINISTRATIVO DE LA PRESIDENCIA DE LA REPUBLICA","899999083","NACIONAL",,,,,,,"NO APLICA","PRESIDENCIA DE LA REPÚBLICA","CENTRAL","CABEZA","DEPARTAMENTO ADMINISTRATIVO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","351","337","6","178","0","142","0","0","8","1","45","160","192","252","39","41","267","210","94","59","17","2","3,841,296,094,736"
"20","DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADISTICA","899999027","NACIONAL",,,,,,,"NO APLICA","INFORMACIÓN ESTADÍSTICA","CENTRAL","CABEZA","DEPARTAMENTO ADMINISTRATIVO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","478","630","1","47","0","376","0","0","7","0","41","263","418","338","48","38","430","428","139","53","20","0","4,945,189,370,938"
"21","DEPARTAMENTO NACIONAL DE PLANEACION","899999011","NACIONAL",,,,,,,"NO APLICA","PLANEACIÓN","CENTRAL","CABEZA","DEPARTAMENTO ADMINISTRATIVO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","253","300","3","54","0","59","0","0","8","0","18","175","181","165","14","41","250","164","49","30","19","0","8,142,211,117,540"
